Country Name En,Unit Name,1950 value,1950 flag,1951 value,1951 flag,1952 value,1952 flag,1953 value,1953 flag,1954 value,1954 flag,1955 value,1955 flag,1956 value,1956 flag,1957 value,1957 flag,1958 value,1958 flag,1959 value,1959 flag,1960 value,1960 flag,1961 value,1961 flag,1962 value,1962 flag,1963 value,1963 flag,1964 value,1964 flag,1965 value,1965 flag,1966 value,1966 flag,1967 value,1967 flag,1968 value,1968 flag,1969 value,1969 flag,1970 value,1970 flag,1971 value,1971 flag,1972 value,1972 flag,1973 value,1973 flag,1974 value,1974 flag,1975 value,1975 flag,1976 value,1976 flag,1977 value,1977 flag,1978 value,1978 flag,1979 value,1979 flag,1980 value,1980 flag,1981 value,1981 flag,1982 value,1982 flag,1983 value,1983 flag,1984 value,1984 flag,1985 value,1985 flag,1986 value,1986 flag,1987 value,1987 flag,1988 value,1988 flag,1989 value,1989 flag,1990 value,1990 flag,1991 value,1991 flag,1992 value,1992 flag,1993 value,1993 flag,1994 value,1994 flag,1995 value,1995 flag,1996 value,1996 flag,1997 value,1997 flag,1998 value,1998 flag,1999 value,1999 flag,2000 value,2000 flag,2001 value,2001 flag,2002 value,2002 flag,2003 value,2003 flag,2004 value,2004 flag,2005 value,2005 flag,2006 value,2006 flag,2007 value,2007 flag,2008 value,2008 flag,2009 value,2009 flag,2010 value,2010 flag,2011 value,2011 flag,2012 value,2012 flag,2013 value,2013 flag,2014 value,2014 flag,2015 value,2015 flag,2016 value,2016 flag,2017 value,2017 flag,2018 value,2018 flag,2019 value,2019 flag,2020 value,2020 flag,2021 value,2021 flag,2022 value,2022 flag,2023 value,2023 flag
Democratic Republic of the Congo,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,81.0,A,180.0,A,689.0,A,723.0,A,759.0,A,760.0,E,700.0,E,700.0,E,730.0,E,700.0,E,650.0,E,600.0,E,600.0,E,1000.0,E,1833.0,A,1993.0,A,2076.0,A,2744.0,A,2965.0,A,2965.0,E,2965.0,E,3015.0,E,3020.0,E,3020.5,E,3025.0,E,3025.0,E,3025.0,E,3030.0,E,2929.0,A,2921.0,A,2921.0,A,3007.0,A,3226.0,A,3580.0,E,3880.0,E,4290.0,E,4690.0,E,5095.0,E,5295.0,E,5510.0,E
Dominican Republic,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,3.0,A,50.0,A,193.0,E,301.0,A,323.0,A,277.0,A,221.0,A,280.0,E,615.0,A,815.0,A,1347.0,A,3982.0,A,2206.0,A,789.0,A,677.0,A,810.0,A,748.0,A,2125.0,A,2647.0,A,3554.0,A,1944.0,E,2000.0,E,980.0,A,980.0,E,1080.0,E,1080.0,E,1230.0,E,1280.0,E,2147.9,A,1031.8,A,1575.0,E,2180.5,A,2290.0,E,2095.0,E,2639.0,E,3009.0,E,3165.0,E,3430.0,E,3750.0,E,3750.0,E,3820.0,E
Falkland Islands (Malvinas),Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,21.0,A,2.0,A,2.0,A,2.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A
Faroe Islands,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,5.0,E,10.0,E,25.0,E,40.0,E,80.0,E,51.0,E,102.0,E,305.0,E,100.0,E,222.0,E,445.0,E,360.0,A,390.0,A,513.0,A,1620.0,A,2520.0,A,4523.0,A,5260.0,A,8131.0,A,13076.0,A,18283.0,A,19098.0,A,18752.0,A,15332.0,A,8611.0,A,17584.0,A,22538.0,A,20436.0,A,42544.0,A,34823.0,A,49167.0,A,56102.0,A,62746.0,A,46077.0,A,23455.0,A,18574.0,A,30699.0,A,46673.0,A,59295.0,A,47575.0,A,60473.0,A,76564.0,A,75909.0,A,86454.0,A,80622.0,E,83333.0,E,86866.0,E,78975.0,E,95085.0,E,89055.0,E,115760.0,E,108745.0,E,98245.0,E
French Guiana,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,2.0,A,15.0,A,36.0,A,71.0,A,63.0,A,89.0,A,83.0,A,83.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,7.0,A,18.0,A,31.0,A,31.0,A,37.0,A,38.0,A,37.0,A,37.0,A,37.0,A,37.0,A,35.0,E,8.0,E,8.0,E,4.0,E,4.0,E,4.0,E,3.0,E,3.0,E,3.0,E,3.0,E,2.0,E,2.0,E,2.0,E,2.0,E,3.0,E,3.0,E,3.0,E
French Polynesia,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,2.0,A,4.5,A,3.0,A,7.0,A,6.0,A,6.0,A,13.0,A,11.5,A,22.0,A,89.206,E,129.104,A,39.0,A,66.0,A,89.0,A,88.0,A,80.0,A,71.0,A,455.172,A,615.96,A,551.699,A,596.38,A,809.188,A,619.001,A,989.822,A,810.667,A,932.624,A,1343.841,A,2013.058,A,1900.803,A,2961.828,A,2483.101,A,2255.192,A,1945.685,A,1905.364,A,2184.438,A,2918.921,A,2654.558,A,2697.675,A,2086.534,A,1914.672,A,1348.973,A,1733.613,A,1859.397,A,1887.386,A,1475.117,A,1564.175,A,1756.989,A,1246.5,A
Gabon,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,2.0,A,2.0,A,3.0,A,3.0,A,2.0,A,2.0,E,2.0,E,3.0,E,5.0,E,8.0,A,28.0,A,39.0,A,62.0,A,57.0,A,158.0,A,558.0,A,558.0,A,102.0,A,83.0,A,80.0,A,80.0,A,78.0,A,126.0,A,124.0,A,124.0,A,126.0,A,130.0,A,130.0,A,48.0,A,46.0,A,45.0,A,45.0,E,50.0,E,50.0,E,62.0,E,62.0,E,72.0,E,72.0,E,87.0,E,90.0,E
Guadeloupe,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,8.0,A,10.0,A,40.0,A,31.0,A,35.0,E,40.0,E,42.0,A,44.0,A,42.0,A,44.0,A,35.0,A,40.0,A,26.0,A,30.0,A,30.0,A,20.0,A,14.0,A,20.0,A,14.0,A,14.0,A,23.0,A,31.0,A,31.0,A,10.361,A,12.262,A,15.224,A,17.5,A,7.4,A,11.0,A,12.0,A,11.0,E,14.0,E,27.0,E,24.0,E,23.0,E,21.0,A,24.0,E,25.0,E,45.0,E,50.0,E,53.0,E,55.0,E
Guam,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,2.0,A,4.0,A,11.0,A,45.0,A,37.0,A,47.0,A,85.0,A,142.0,A,180.0,A,198.0,A,210.0,A,212.0,A,176.0,A,187.0,A,211.0,A,215.0,A,216.0,E,220.0,E,220.0,E,220.0,E,230.0,E,232.0,E,232.0,E,233.0,E,160.0,E,160.0,E,160.0,E,162.0,A,162.0,A,162.0,E,140.5,A,129.0,A,111.0,A,111.0,E,110.0,E,110.0,E,110.0,E,110.0,E,100.0,E,103.0,E,105.0,E,108.0,E,105.0,E,108.0,E,103.0,E
Guyana,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,14.0,A,17.0,A,27.0,E,65.0,A,70.0,A,43.0,E,35.0,E,50.0,E,65.0,E,85.0,E,140.0,E,210.0,A,230.0,E,250.0,E,270.0,E,300.0,E,606.0,A,605.0,A,608.0,A,608.0,A,608.0,E,608.0,E,608.0,A,660.0,E,660.0,A,292.0,E,510.96,E,487.6,A,263.1,A,261.178,A,220.65,A,367.496,A,417.64,A,336.7,A,696.268,A,306.76,A,243.02,A,137.626,A,141.73,A,953.4,A,1565.0,E
